序号,时间,0#AD转换器电压[X轴](V),0#AD转换器电压[Y轴](V),1#振镜温度[X轴](℃),1#振镜温度[Y轴](℃),0#AGC电流[X轴](mA),0#AGC电流[Y轴](mA),0#DSP核心电压[X轴](V),0#DSP核心电压[Y轴](V),0#DSP端口电压[X轴](V),0#DSP端口电压[Y轴](V),0#模拟电压[X轴](V),0#模拟电压[Y轴](V),0#伺服温度[X轴](℃),0#伺服温度[Y轴](℃),0#输出电流[X轴](mA),0#输出电流[Y轴](mA),0#振镜温度[X轴](℃),0#振镜温度[Y轴](℃),0#功率[X轴](W),0#功率[Y轴](W),1#DSP核心电压[X轴](V),1#DSP核心电压[Y轴](V),1#DSP端口电压[X轴](V),1#DSP端口电压[Y轴](V),1#功率[X轴](W),1#功率[Y轴](W),1#伺服温度[X轴](℃),1#伺服温度[Y轴](℃),1#模拟电压[X轴](V),1#模拟电压[Y轴](V),1#AD转换器电压[X轴](V),1#AD转换器电压[Y轴](V),1#输出电流[X轴](mA),1#输出电流[Y轴](mA),1#AGC电流[X轴](mA),1#AGC电流[Y轴](mA)
21340,2025/2/25 11:32:02,5.05,5.05,43.9,43.9,56,47,1.9,1.91,3.31,3.31,9.06,9.04,41.4,44.0,-4,91,43.9,44.0,6.76,6.17,1.89,1.92,3.28,3.35,6.33,6.46,44.0,43.0,9.01,9.18,5.02,5.07,0,61,50,51
21341,2025/2/25 11:32:03,5.05,5.05,43.9,43.9,56,47,1.9,1.91,3.31,3.3,9.06,9.07,41.4,43.9,56,18,43.9,43.9,6.75,6.17,1.89,1.92,3.27,3.35,6.33,6.46,44.0,43.0,9.05,9.16,5.02,5.07,7,83,50,51
21342,2025/2/25 11:32:03,5.05,5.05,43.9,43.9,56,47,1.91,1.91,3.31,3.31,9.06,9.06,41.4,44.0,-24,-52,43.9,44.0,6.74,6.16,1.89,1.92,3.28,3.35,6.33,6.45,44.0,43.0,9.01,9.2,5.02,5.07,-7,6,51,51
21343,2025/2/25 11:32:04,5.05,5.05,43.9,43.9,56,47,1.9,1.91,3.31,3.31,9.06,9.07,41.4,43.9,-75,30,43.9,43.9,6.75,6.17,1.89,1.92,3.28,3.35,6.34,6.43,44.0,43.0,9.0,9.18,5.02,5.07,3,-11,50,51
21344,2025/2/25 11:32:05,5.05,5.05,43.9,44.0,56,47,1.9,1.91,3.31,3.31,9.06,9.06,41.4,44.0,13,-24,43.9,44.0,6.75,6.17,1.88,1.92,3.28,3.35,6.33,6.45,44.0,43.0,9.01,9.16,5.02,5.07,29,-5,50,51
21345,2025/2/25 11:32:05,5.05,5.05,43.9,43.9,56,47,1.91,1.91,3.31,3.31,9.06,9.07,41.4,44.0,-40,20,43.9,44.0,6.75,6.17,1.89,1.92,3.28,3.35,6.34,6.46,44.0,43.0,9.01,9.13,5.02,5.06,27,-25,50,51
21346,2025/2/25 11:32:06,5.05,5.05,43.9,43.9,55,47,1.91,1.91,3.31,3.32,9.06,9.07,41.4,44.0,26,-35,43.9,44.0,6.75,6.16,1.89,1.92,3.28,3.35,6.33,6.47,43.9,43.0,9.0,9.17,5.02,5.07,7,33,50,51
21347,2025/2/25 11:32:06,5.04,5.05,43.9,44.0,56,47,1.9,1.91,3.31,3.31,9.07,9.06,41.4,44.0,16,-69,43.9,44.0,6.75,6.17,1.89,1.92,3.28,3.35,6.34,6.42,43.9,43.0,9.01,9.16,5.02,5.06,29,62,50,51
21348,2025/2/25 11:32:07,5.05,5.05,43.9,44.0,55,47,1.9,1.91,3.31,3.31,9.06,9.06,41.4,44.0,57,-54,43.9,43.9,6.75,6.16,1.89,1.92,3.28,3.35,6.33,6.51,43.9,43.0,9.01,9.14,5.02,5.07,15,37,50,51
21349,2025/2/25 11:32:07,5.05,5.05,43.9,44.0,56,47,1.9,1.91,3.31,3.31,9.07,9.07,41.3,44.0,-40,-10,43.9,44.0,6.74,6.16,1.88,1.92,3.28,3.35,6.32,6.45,43.9,43.0,9.01,9.16,5.02,5.06,4,-70,50,51
21350,2025/2/25 11:32:08,5.05,5.05,43.9,44.0,56,47,1.9,1.91,3.31,3.31,9.05,9.07,41.4,44.0,34,-33,43.9,44.0,6.75,6.17,1.9,1.92,3.28,3.35,6.35,6.46,43.9,43.0,9.0,9.17,5.02,5.07,26,-49,50,51
21351,2025/2/25 11:32:08,5.05,5.05,43.9,44.0,55,47,1.9,1.91,3.31,3.31,9.07,9.06,41.3,43.9,60,11,43.9,43.9,6.75,6.17,1.89,1.92,3.28,3.35,6.33,6.45,43.9,43.0,9.02,9.17,5.02,5.08,13,-63,50,51
21352,2025/2/25 11:32:09,5.05,5.05,43.9,44.0,56,47,1.9,1.91,3.31,3.31,9.06,9.07,41.4,44.0,47,-38,43.9,44.0,6.74,6.17,1.89,1.92,3.28,3.35,6.34,6.45,43.9,43.0,9.0,9.16,5.02,5.06,16,-99,50,51
21353,2025/2/25 11:32:09,5.05,5.05,43.9,44.0,56,47,1.9,1.91,3.31,3.31,9.05,9.07,41.4,43.9,-59,-5,44.0,43.9,6.74,6.11,1.89,1.92,3.28,3.35,6.34,6.45,43.9,43.0,9.01,9.16,5.02,5.06,-1,-18,50,51
21354,2025/2/25 11:32:10,5.05,5.05,43.9,43.9,55,47,1.9,1.91,3.31,3.31,9.06,9.07,41.4,43.9,-36,-80,44.0,43.9,6.72,6.18,1.89,1.92,3.28,3.35,6.34,6.45,43.9,43.0,9.01,9.17,5.02,5.06,-10,12,50,51
21355,2025/2/25 11:32:10,5.05,5.05,43.9,43.9,56,47,1.9,1.91,3.31,3.31,9.06,9.07,41.4,44.0,123,-102,44.0,43.9,6.74,6.17,1.88,1.93,3.28,3.35,6.33,6.46,43.9,43.0,9.01,9.16,5.02,5.07,-6,42,50,51
21356,2025/2/25 11:32:11,5.05,5.05,43.9,43.9,56,47,1.9,1.91,3.31,3.31,9.06,9.06,41.4,44.0,-24,7,44.0,43.9,6.75,6.16,1.89,1.92,3.28,3.35,6.33,6.45,43.8,43.0,9.0,9.16,5.02,5.06,7,-111,50,51
21357,2025/2/25 11:32:11,5.05,5.05,43.9,44.0,56,47,1.9,1.91,3.31,3.31,9.06,9.06,41.4,44.0,12,-13,44.0,44.0,6.74,6.16,1.88,1.92,3.28,3.35,6.33,6.47,43.8,43.0,9.0,9.16,5.02,5.07,27,-24,50,51
21358,2025/2/25 11:32:12,5.05,5.05,43.9,43.9,56,47,1.9,1.91,3.31,3.31,9.06,9.06,41.4,44.0,-40,-21,44.0,44.0,6.72,6.17,1.89,1.92,3.28,3.35,6.34,6.45,43.9,42.9,9.02,9.17,5.01,5.06,22,58,50,51
21359,2025/2/25 11:32:12,5.05,5.05,43.9,44.0,56,47,1.91,1.91,3.31,3.31,9.06,9.06,41.3,44.0,119,-1,43.9,44.0,6.71,6.17,1.89,1.92,3.28,3.36,6.33,6.46,43.8,43.0,9.01,9.17,5.02,5.07,8,36,50,51
21360,2025/2/25 11:32:13,5.05,5.05,43.9,44.0,56,47,1.9,1.91,3.31,3.31,9.06,9.07,41.4,44.0,-3,-54,44.0,44.0,6.74,6.16,1.89,1.93,3.27,3.35,6.33,6.46,43.9,42.9,9.0,9.16,5.01,5.07,8,-1,50,51
21361,2025/2/25 11:32:13,5.05,5.05,43.9,44.0,56,47,1.9,1.91,3.31,3.31,9.06,9.06,41.4,44.0,13,6,44.0,44.0,6.76,6.17,1.89,1.92,3.28,3.35,6.33,6.45,43.8,43.0,9.01,9.16,5.02,5.07,-8,0,50,51
21362,2025/2/25 11:32:14,5.05,5.05,43.9,44.0,56,47,1.9,1.91,3.31,3.31,9.06,9.04,41.4,44.0,-34,-9,44.0,44.0,6.76,6.18,1.89,1.92,3.28,3.35,6.33,6.45,43.8,43.0,9.01,9.14,5.02,5.06,-8,72,50,51
21363,2025/2/25 11:32:15,5.05,5.05,43.9,44.0,56,47,1.9,1.9,3.31,3.31,9.06,9.07,41.3,44.0,-25,97,44.0,44.0,6.75,6.17,1.89,1.92,3.28,3.35,6.33,6.46,43.8,43.0,9.0,9.15,5.02,5.06,-19,64,50,51
21364,2025/2/25 11:32:15,5.05,5.05,43.9,44.0,56,47,1.9,1.91,3.31,3.31,9.06,9.06,41.3,44.0,-34,-124,44.0,44.0,6.74,6.18,1.89,1.93,3.28,3.35,6.34,6.45,43.8,42.9,9.0,9.16,5.02,5.07,2,69,50,51
21365,2025/2/25 11:32:16,5.04,5.05,43.9,44.0,56,47,1.91,1.91,3.31,3.31,9.06,9.1,41.3,44.0,22,-36,44.0,44.0,6.76,6.18,1.88,1.92,3.28,3.35,6.33,6.47,43.8,42.9,9.01,9.16,5.02,5.06,-2,-2,50,51
21366,2025/2/25 11:32:16,5.05,5.05,43.9,44.0,56,47,1.9,1.91,3.31,3.31,9.06,9.07,41.3,43.9,46,-12,43.9,43.9,6.75,6.16,1.89,1.92,3.29,3.35,6.33,6.46,43.8,42.9,9.0,9.17,5.02,5.07,8,21,50,51
21367,2025/2/25 11:32:17,5.05,5.05,43.9,44.0,56,47,1.9,1.91,3.31,3.31,9.07,9.07,41.3,43.9,60,-56,44.0,43.9,6.72,6.18,1.89,1.92,3.28,3.35,6.34,6.47,43.8,42.9,9.01,9.16,5.02,5.06,19,-74,50,51
21368,2025/2/25 11:32:17,5.05,5.05,43.9,43.9,56,47,1.9,1.91,3.31,3.31,9.07,9.06,41.3,44.0,7,-5,44.0,44.0,6.75,6.17,1.89,1.92,3.28,3.35,6.32,6.45,43.8,42.9,9.0,9.17,5.02,5.07,-17,0,50,51
21369,2025/2/25 11:32:18,5.04,5.05,44.0,43.9,56,47,1.9,1.91,3.31,3.31,9.06,9.06,41.3,44.0,77,34,43.9,44.0,6.75,6.16,1.88,1.92,3.28,3.35,6.34,6.46,43.8,42.9,9.01,9.16,5.01,5.07,1,2,51,51
21370,2025/2/25 11:32:18,5.05,5.05,43.9,43.9,55,47,1.9,1.91,3.32,3.31,9.07,9.07,41.3,44.0,-40,47,43.9,43.9,6.75,6.17,1.89,1.92,3.28,3.35,6.32,6.45,43.8,42.9,9.01,9.16,5.02,5.07,-4,-41,50,51
21371,2025/2/25 11:32:19,5.05,5.05,44.0,43.9,56,47,1.9,1.91,3.31,3.31,9.06,9.07,41.3,43.9,-53,26,44.0,43.9,6.76,6.17,1.89,1.92,3.28,3.35,6.34,6.44,43.8,42.9,9.0,9.16,5.02,5.06,7,90,50,51
21372,2025/2/25 11:32:19,5.05,5.05,43.9,43.9,56,47,1.9,1.91,3.31,3.31,9.06,9.08,41.3,44.0,-1,36,44.0,43.9,6.74,6.17,1.89,1.92,3.28,3.35,6.34,6.46,43.8,42.9,9.01,9.16,5.02,5.07,6,-54,50,51
21373,2025/2/25 11:32:20,5.05,5.05,43.9,43.9,56,47,1.91,1.91,3.31,3.31,9.06,9.07,41.3,43.9,8,61,43.9,43.9,6.75,6.17,1.89,1.92,3.28,3.35,6.33,6.46,43.7,42.9,9.01,9.16,5.01,5.06,-10,82,50,51
21374,2025/2/25 11:32:20,5.05,5.05,43.9,43.9,56,47,1.9,1.91,3.32,3.31,9.05,9.06,41.3,44.0,93,-14,43.9,43.9,6.75,6.16,1.9,1.92,3.28,3.35,6.33,6.45,43.7,42.9,9.0,9.16,5.02,5.06,6,49,50,51
21375,2025/2/25 11:32:21,5.05,5.05,44.0,43.9,56,47,1.9,1.91,3.31,3.31,9.06,9.06,41.3,44.0,33,-28,43.9,43.9,6.74,6.1,1.89,1.92,3.28,3.36,6.33,6.46,43.8,42.9,9.0,9.16,5.01,5.08,34,-14,50,51
